                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.9894,                  1.866,                 2.3233,                0.06502,                 0.0605,                0.03346,                0.01069,                 2.4149,                 3.7121,                 3.1009,               0.008284,               0.008284,               0.008284
                     54,                  1.889,                 1.8033,                 2.2152,                0.44436,                0.59786,                0.47347,                0.23603,                 1.7061,                 1.9336,                 2.2853,               0.008251,               0.008251,               0.008251
                     55,                 1.9304,                   1.84,                 2.2685,                0.20982,                0.19573,                0.16715,                0.06958,                  1.993,                  2.533,                 2.4761,               0.008218,               0.008218,               0.008218
                     56,                 1.9307,                 1.7515,                 2.2628,                0.17441,                  0.121,                0.04272,                0.01711,                 2.5204,                 3.7917,                 3.0198,               0.008185,               0.008185,               0.008185
                     57,                 1.7232,                 1.5694,                  2.054,                0.18208,                0.12811,                0.06851,                0.02762,                 2.3583,                 3.2997,                 2.8792,               0.008152,               0.008152,               0.008152
                     58,                 1.8407,                 1.7132,                 2.1695,                 0.2224,                 0.1313,                0.07372,                0.03507,                 2.2593,                 3.3567,                 2.8481,               0.008119,               0.008119,               0.008119
                     59,                 1.8098,                 1.5776,                 2.0939,                0.19149,                0.11211,                0.07306,                0.02847,                 2.4484,                 3.4725,                 3.0082,               0.008086,               0.008086,               0.008086
                     60,                 1.7485,                 1.5742,                 2.1017,                0.68303,                0.52313,                 0.6227,                0.33658,                 1.7355,                 1.8517,                 2.3096,               0.008053,               0.008053,               0.008053
                     61,                  1.879,                 1.6551,                  2.129,                0.37262,                0.08455,                0.08835,                0.03174,                 2.5062,                 3.2966,                 3.0684,                0.00802,                0.00802,                0.00802
                     62,                 1.7812,                 1.6328,                 2.1943,                0.40435,                0.29232,                0.27484,                 0.1335,                 2.1253,                 2.6719,                 2.7009,               0.007987,               0.007987,               0.007987
                     63,                 1.8973,                 1.6092,                 2.1824,                0.63231,                0.49822,                0.48435,                0.24899,                 1.8467,                 2.1652,                 2.3591,               0.007954,               0.007954,               0.007954
                     64,                 1.7358,                 1.5639,                 2.0168,                0.21069,                0.13523,                0.11385,                0.05101,                 2.2083,                 2.8278,                 2.6452,               0.007921,               0.007921,               0.007921
                     65,                 1.6966,                 1.5611,                 2.0134,                0.69387,                0.67616,                0.74661,                0.42977,                 1.5259,                 1.6529,                 2.1256,               0.007888,               0.007888,               0.007888
                     66,                 1.6977,                 1.5701,                 2.0588,                0.81664,                0.61922,                0.74017,                0.43912,                  1.556,                  1.733,                 2.1154,               0.007855,               0.007855,               0.007855
                     67,                 1.7112,                   1.54,                 2.1091,                0.25295,                0.35587,                0.24874,                0.11216,                 1.9686,                 2.2402,                 2.5339,               0.007822,               0.007822,               0.007822
                     68,                 1.6265,                 1.5153,                 2.0139,                0.61056,                0.58007,                0.59357,                 0.3157,                  1.626,                 1.8403,                 2.2207,               0.007789,               0.007789,               0.007789
                     69,                 1.6975,                 1.4831,                 2.0875,                0.77348,                0.61973,                0.72585,                0.39895,                 1.5721,                 1.5881,                 2.1664,               0.007756,               0.007756,               0.007756
                     70,                 1.7203,                 1.5455,                 2.0724,                0.34628,                0.48754,                0.34438,                0.16855,                 1.7678,                 2.0988,                  2.358,               0.007723,               0.007723,               0.007723
                     71,                 1.7041,                 1.5328,                 1.9996,                 0.7744,                0.61922,                0.75378,                0.45792,                 1.6031,                 1.4575,                 2.1457,                0.00769,                0.00769,                0.00769
                     72,                 1.6962,                 1.5806,                 2.0639,                0.73698,                0.61922,                0.75607,                0.48587,                 1.4978,                 1.4521,                 2.0392,               0.007657,               0.007657,               0.007657
                     73,                 1.7052,                 1.4246,                 2.0522,                0.77321,                0.58237,                0.73235,                0.42942,                 1.5763,                 1.5076,                 2.0984,               0.007624,               0.007624,               0.007624
